id,preis,endreinigung,typ,stadt,stadtteil,lat,lon,bewertungen,bewertung,gaeste,baeder,schlafzimmer,betten,internet,wlan,kueche,heizung,klimaanlage,haartrockner,familienfreundlich,buegeleisen,waschmaschine,trockner,rauchmelder,kohlenmonoxidmelder,feuerloescher,erstehilfekoffer,fernsehen,kabelfernsehen,fruehstueck,kamin,fahrstuhl,pool,fitnessstudio,whirlpool,rollstuhlgeeignet,bettwaesche,mikrowelle,geschirr,ofen,herd,badewanne,kaffeemaschine,geschirrspueler,ebenerdig,kuehlschrank,rauchen,haustiere,hochstuhl,kinderkrippe,spielekonsole
10000,160,1,Apartment,SF,Noe Valley,37.743108566179316,-122.42941786048277,10,96,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,200,1,Apartment,NYC,Battery Park City,40.71841705818263,-74.01522690173425,4,100,4,1.5,1,3,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,85,0,Apartment,LA,Hollywood Hills,34.1093493466474,-118.32366686557808,5,92,4,1,1,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,160,1,Apartment,NYC,Greenpoint,40.72215474281165,-73.94203421038941,0,0,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,130,1,Apartment,NYC,Kips Bay,40.74092384566051,-73.97992724469736,2,100,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
10005,95,1,Apartment,LA,Silver Lake,34.09173801908639,-118.26879807649195,73,95,3,1,1,2,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,90,1,Apartment,LA,Hollywood Hills,34.10637984853653,-118.31068680774568,1,100,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,200,1,Apartment,Chicago,Logan Square,41.93006906887452,-87.69891900085453,18,96,6,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,82,1,Apartment,NYC,Washington Heights,40.84089638413947,-73.93803592322709,15,76,6,1,2,4,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,165,1,House,LA,Westchester/Playa Del Rey,33.960168799393145,-118.44883988628612,28,97,2,1.5,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,160,1,Apartment,NYC,Williamsburg,40.710466739668895,-73.964456943403,7,100,3,1,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,155,1,Apartment,NYC,Prospect Heights,40.674533392501615,-73.96759468252107,13,88,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,139,1,Apartment,NYC,Alphabet City,40.72373991252118,-73.98354641471838,5,100,2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,70,1,House,LA,South LA,34.00705303428408,-118.31390061041851,131,0,3,1,0,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10014,75,1,Apartment,NYC,Stapleton,40.62375251759493,-74.07372606445549,38,98,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,1270,0,House,SF,Diamond Heights,37.742680281545795,-122.43580406849607,0,0,6,2,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,1368,0,Apartment,NYC,East Village,40.73127297176201,-73.98594085607877,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,99,1,Apartment,DC,,38.922002998655245,-77.0374524582556,0,0,4,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,160,1,Apartment,NYC,Williamsburg,40.717284156983716,-73.94297689510199,8,95,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,200,1,Apartment,NYC,Greenpoint,40.730669040172856,-73.95499828856286,14,100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
10020,271,1,House,DC,,38.89307860524517,-76.98290163907187,9,98,8,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,170,1,Apartment,NYC,Williamsburg,40.71835479333046,-73.95454124627373,24,99,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,99,1,Apartment,NYC,Maspeth,40.72845013702326,-73.90367078166923,40,80,4,1,1,2,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,160,1,Apartment,DC,Capitol Hill,38.88512980958305,-77.0038413693525,118,95,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,135,1,House,DC,Takoma,38.97267085914644,-77.01820933441735,1,80,2,2.5,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,279,1,Apartment,SF,Western Addition/NOPA,37.7856255630396,-122.42593661055616,13,97,4,2,2,2,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026,250,1,House,NYC,Flatbush,40.636460736898364,-73.96484059570514,1,0,5,1,3,3,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
10027,300,1,Apartment,LA,Hollywood,34.10094528550591,-118.34652500092436,0,0,6,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10028,149,1,Apartment,NYC,West Village,40.736694031533524,-74.00374546845705,5,100,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,200,1,Apartment,NYC,Crown Heights,40.677746809856636,-73.9590996409012,6,100,4,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10030,209,1,Apartment,SF,Downtown,37.788347076763145,-122.41119909379287,5,100,4,1,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
10031,250,1,House,DC,16th Street Heights,38.93926623406984,-77.03088867792594,6,100,8,1.5,3,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
